epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
67,24649,0.24934,0.33537,0.06106,0.9166,0.87273,0.92163,0.66932,0.23796,0.32807,0.07564,0.000495291,0.000495291,0.000495291
68,25006,0.24852,0.33504,0.06115,0.92209,0.87625,0.92387,0.67254,0.23675,0.32625,0.07579,0.000481144,0.000481144,0.000481144
69,25363,0.25015,0.33099,0.06015,0.91827,0.87951,0.92392,0.67694,0.23579,0.32429,0.07534,0.000466997,0.000466997,0.000466997
70,25719.5,0.24592,0.32868,0.05934,0.92194,0.87483,0.92541,0.68083,0.23356,0.32273,0.07424,0.00045285,0.00045285,0.00045285
71,26076.6,0.24234,0.32591,0.0596,0.9211,0.88354,0.92504,0.67938,0.232,0.32253,0.07437,0.000438703,0.000438703,0.000438703
72,26433.2,0.24268,0.32669,0.05897,0.91956,0.87909,0.92371,0.67803,0.23178,0.32313,0.07345,0.000424556,0.000424556,0.000424556
73,26789.4,0.2375,0.32213,0.05691,0.92417,0.88158,0.92448,0.67996,0.23125,0.32063,0.07377,0.000410409,0.000410409,0.000410409
74,27146.7,0.23781,0.32273,0.05815,0.91237,0.88341,0.92479,0.67848,0.23259,0.32007,0.07353,0.000396262,0.000396262,0.000396262
75,27503.5,0.2335,0.32039,0.05695,0.92314,0.88791,0.92925,0.68329,0.23024,0.31738,0.07315,0.000382115,0.000382115,0.000382115
76,27860.6,0.2345,0.31953,0.05544,0.92049,0.88687,0.92531,0.67821,0.23045,0.3216,0.07411,0.000367967,0.000367967,0.000367967
77,28217.9,0.23055,0.3143,0.05538,0.92595,0.88399,0.92888,0.68312,0.22771,0.31763,0.07309,0.00035382,0.00035382,0.00035382
78,28574.6,0.23052,0.31081,0.05413,0.92426,0.88869,0.92913,0.68137,0.22894,0.3201,0.0733,0.000339673,0.000339673,0.000339673
79,28930.5,0.22771,0.3134,0.05404,0.92322,0.88561,0.92471,0.68152,0.22838,0.3199,0.07284,0.000325526,0.000325526,0.000325526
80,29282.5,0.22464,0.30884,0.05398,0.92063,0.89274,0.92804,0.68623,0.22501,0.31557,0.07196,0.000311379,0.000311379,0.000311379
81,29634.4,0.22543,0.3071,0.05317,0.92304,0.88994,0.92925,0.6874,0.22419,0.31744,0.07135,0.000297232,0.000297232,0.000297232
82,29987.3,0.22403,0.30875,0.05346,0.92484,0.8854,0.93057,0.68876,0.22421,0.31724,0.07135,0.000283085,0.000283085,0.000283085
83,30349.4,0.21978,0.30528,0.05269,0.9288,0.88762,0.9285,0.69119,0.22423,0.31593,0.07121,0.000268938,0.000268938,0.000268938
84,30711,0.22253,0.30326,0.05285,0.93308,0.88475,0.93062,0.69082,0.22452,0.31487,0.07103,0.000254791,0.000254791,0.000254791
85,31072.8,0.21651,0.30027,0.05091,0.92916,0.88786,0.93235,0.69326,0.22422,0.31312,0.07058,0.000240644,0.000240644,0.000240644
86,31435.1,0.21409,0.29836,0.05116,0.92973,0.88487,0.93101,0.69578,0.22264,0.31343,0.07006,0.000226497,0.000226497,0.000226497
87,31797.5,0.21393,0.29751,0.05154,0.92164,0.89204,0.93041,0.69367,0.22319,0.31332,0.06981,0.000212349,0.000212349,0.000212349
88,32159.5,0.21161,0.29404,0.04944,0.92787,0.88888,0.9306,0.69423,0.22217,0.31288,0.07009,0.000198202,0.000198202,0.000198202
89,32521.1,0.20913,0.29083,0.04915,0.92501,0.89267,0.93069,0.69518,0.22204,0.31285,0.07035,0.000184055,0.000184055,0.000184055
90,32883,0.21153,0.29233,0.04975,0.927,0.88457,0.93064,0.69375,0.22255,0.31345,0.0704,0.000169908,0.000169908,0.000169908
91,33240.1,0.17169,0.25688,0.04439,0.92954,0.88295,0.9298,0.69471,0.22212,0.31282,0.07012,0.000155761,0.000155761,0.000155761
92,33596.7,0.16878,0.25499,0.04371,0.92562,0.89357,0.93084,0.69656,0.22176,0.31253,0.06997,0.000141614,0.000141614,0.000141614
93,33953.1,0.165,0.24933,0.04284,0.92923,0.89033,0.93202,0.69689,0.22095,0.31249,0.06993,0.000127467,0.000127467,0.000127467
94,34310,0.16358,0.24846,0.04265,0.92546,0.89311,0.92992,0.69921,0.21994,0.31345,0.06936,0.00011332,0.00011332,0.00011332
95,34666.6,0.16092,0.24805,0.0422,0.93238,0.89364,0.93159,0.70073,0.21948,0.3109,0.06926,9.91726e-05,9.91726e-05,9.91726e-05
96,35022.9,0.1589,0.24486,0.04048,0.92867,0.89431,0.9297,0.69996,0.21883,0.31278,0.06918,8.50255e-05,8.50255e-05,8.50255e-05
97,35379.8,0.15808,0.24255,0.04017,0.93376,0.89182,0.93072,0.7005,0.2179,0.31224,0.06878,7.08784e-05,7.08784e-05,7.08784e-05
98,35736.3,0.15805,0.24146,0.04031,0.93394,0.89245,0.93253,0.70077,0.2188,0.31226,0.06881,5.67313e-05,5.67313e-05,5.67313e-05
99,36093.3,0.1561,0.24032,0.03936,0.93735,0.88885,0.93241,0.70086,0.21792,0.312,0.06847,4.25842e-05,4.25842e-05,4.25842e-05
100,36450.3,0.15501,0.2385,0.03893,0.93669,0.89163,0.93193,0.70269,0.21818,0.3131,0.06846,2.84371e-05,2.84371e-05,2.84371e-05
